"Station","Period","Date","SpeciesCode","Replicates","CoverMean","CoverSE"
1,1,"08/25/80",0000,10,5.5000,2.0344
1,1,"08/25/80",0002,10,0.5000,0.5000
1,1,"08/25/80",0012,10,1.0000,1.0000
1,1,"08/25/80",0025,10,0.0000,0.0000
1,1,"08/25/80",0029,10,0.0000,0.0000
1,1,"08/25/80",0030,10,0.0000,0.0000
1,1,"08/25/80",0045,10,0.0000,0.0000
1,1,"08/25/80",0046,10,0.0000,0.0000
1,1,"08/25/80",0047,10,1.0000,1.0000
1,1,"08/25/80",0048,10,0.0000,0.0000
1,1,"08/25/80",0049,10,0.0000,0.0000
1,1,"08/25/80",0050,10,0.5000,0.5000
1,1,"08/25/80",0051,10,2.5000,1.1180
1,1,"08/25/80",0052,10,4.0000,2.5604
1,1,"08/25/80",0053,10,1.0000,1.0000
1,1,"08/25/80",0054,10,0.0000,0.0000
1,1,"08/25/80",0055,10,0.0000,0.0000
1,1,"08/25/80",0056,10,0.0000,0.0000
1,1,"08/25/80",0057,10,0.0000,0.0000
1,1,"08/25/80",0058,10,0.0000,0.0000
1,1,"08/25/80",0059,10,0.0000,0.0000
1,1,"08/25/80",0060,10,0.0000,0.0000
1,1,"08/25/80",0061,10,0.0000,0.0000
1,1,"08/25/80",0062,10,0.0000,0.0000
1,1,"08/25/80",0063,10,0.5000,0.5000
1,1,"08/25/80",0064,10,0.0000,0.0000
1,1,"08/25/80",0065,10,0.5000,0.5000
1,1,"08/25/80",0069,10,0.0000,0.0000
1,1,"08/25/80",0070,10,0.0000,0.0000
1,1,"08/25/80",0072,10,0.0000,0.0000
1,1,"08/25/80",0073,10,0.0000,0.0000
1,1,"08/25/80",0074,10,1.0000,0.6667
1,1,"08/25/80",0076,10,1.0000,0.6667
1,1,"08/25/80",0077,10,0.5000,0.5000
1,1,"08/25/80",0078,10,0.0000,0.0000
1,1,"08/25/80",0079,10,1.0000,1.0000
1,1,"08/25/80",0080,10,0.0000,0.0000
1,1,"08/25/80",0082,10,0.0000,0.0000
1,1,"08/25/80",0083,10,0.0000,0.0000
1,1,"08/25/80",0084,10,1.0000,0.6667
1,1,"08/25/80",0086,10,1.0000,1.0000
1,1,"08/25/80",0087,10,0.0000,0.0000
1,1,"08/25/80",0088,10,0.0000,0.0000
1,1,"08/25/80",0091,10,0.0000,0.0000
1,1,"08/25/80",0096,10,0.5000,0.5000
1,1,"08/25/80",0097,10,0.0000,0.0000
1,1,"08/25/80",0098,10,0.0000,0.0000
1,1,"08/25/80",0099,10,0.0000,0.0000
1,1,"08/25/80",0100,10,0.0000,0.0000
1,1,"08/25/80",0101,10,0.0000,0.0000
1,1,"08/25/80",0102,10,0.0000,0.0000
1,1,"08/25/80",0103,10,0.0000,0.0000
1,1,"08/25/80",0104,10,0.0000,0.0000
1,1,"08/25/80",0105,10,0.0000,0.0000
1,1,"08/25/80",0107,10,0.0000,0.0000
1,1,"08/25/80",0108,10,0.0000,0.0000
1,1,"08/25/80",0109,10,0.0000,0.0000
1,1,"08/25/80",0110,10,0.0000,0.0000
1,1,"08/25/80",0111,10,1.0000,0.6667
1,1,"08/25/80",0113,10,0.0000,0.0000
1,1,"08/25/80",0114,10,0.0000,0.0000
1,1,"08/25/80",0116,10,0.0000,0.0000
1,1,"08/25/80",0117,10,0.0000,0.0000
1,1,"08/25/80",0118,10,0.0000,0.0000
1,1,"08/25/80",0119,10,0.0000,0.0000
1,1,"08/25/80",0121,10,0.0000,0.0000
1,1,"08/25/80",0122,10,0.0000,0.0000
1,1,"08/25/80",0123,10,0.0000,0.0000
1,1,"08/25/80",0127,10,0.0000,0.0000
1,1,"08/25/80",0128,10,0.0000,0.0000
1,1,"08/25/80",0129,10,0.0000,0.0000
1,1,"08/25/80",0130,10,0.0000,0.0000
1,1,"08/25/80",0131,10,0.0000,0.0000
1,1,"08/25/80",0132,10,0.0000,0.0000
1,1,"08/25/80",0134,10,0.0000,0.0000
1,1,"08/25/80",0135,10,0.0000,0.0000
1,1,"08/25/80",0138,10,0.0000,0.0000
1,1,"08/25/80",0139,10,0.0000,0.0000
1,1,"08/25/80",0140,10,0.0000,0.0000
1,1,"08/25/80",0141,10,0.0000,0.0000
1,1,"08/25/80",0142,10,0.0000,0.0000
1,1,"08/25/80",0143,10,0.0000,0.0000
1,1,"08/25/80",0147,10,0.0000,0.0000
1,1,"08/25/80",0148,10,0.0000,0.0000
1,1,"08/25/80",0150,10,0.0000,0.0000
1,1,"08/25/80",0151,10,0.0000,0.0000
1,1,"08/25/80",0500,10,0.5000,0.5000
1,1,"08/25/80",0501,10,0.0000,0.0000
1,1,"08/25/80",0502,10,0.0000,0.0000
1,1,"08/25/80",0503,10,30.0000,5.1640
1,1,"08/25/80",0507,10,0.0000,0.0000
1,1,"08/25/80",0510,10,0.0000,0.0000
1,1,"08/25/80",0516,10,0.0000,0.0000
1,1,"08/25/80",0519,10,0.0000,0.0000
1,1,"08/25/80",0521,10,0.0000,0.0000
1,1,"08/25/80",0522,10,0.0000,0.0000
1,1,"08/25/80",0526,10,0.5000,0.5000
1,1,"08/25/80",0527,10,0.0000,0.0000
1,1,"08/25/80",0530,10,2.5000,1.1180
1,1,"08/25/80",0533,10,0.0000,0.0000
1,1,"08/25/80",0535,10,2.0000,1.5275
1,1,"08/25/80",0536,10,0.0000,0.0000
1,1,"08/25/80",0540,10,0.0000,0.0000
1,1,"08/25/80",0541,10,0.0000,0.0000
1,1,"08/25/80",0542,10,25.5000,7.7262
1,1,"08/25/80",0543,10,0.0000,0.0000
1,1,"08/25/80",0544,10,0.0000,0.0000
1,1,"08/25/80",0549,10,0.0000,0.0000
1,1,"08/25/80",0550,10,0.0000,0.0000
1,1,"08/25/80",0551,10,0.0000,0.0000
1,1,"08/25/80",0553,10,1.0000,0.6667
1,1,"08/25/80",0554,10,0.5000,0.5000
1,1,"08/25/80",0555,10,5.0000,3.4157
1,1,"08/25/80",0556,10,3.5000,2.4777
1,1,"08/25/80",0557,10,0.0000,0.0000
1,1,"08/25/80",0558,10,0.0000,0.0000
1,1,"08/25/80",0559,10,6.0000,2.0817
1,1,"08/25/80",0560,10,19.5000,6.4313
1,1,"08/25/80",0561,10,15.0000,2.3570
1,1,"08/25/80",0562,10,3.0000,1.3333
1,1,"08/25/80",0563,10,0.0000,0.0000
1,1,"08/25/80",0564,10,0.0000,0.0000
1,1,"08/25/80",0565,10,5.0000,2.9814
